# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Malory	玛罗丽	Mǎ luó lì
Malou	玛璐	Mǎ Lù
Malvina	玛尔维娜	Mǎ ěr wéi nà
Maly	玛丽	Mǎ lì
Malysia	玛丽茜亚	Mǎ lì xī yà
Mamadou	马马杜	Mǎ mǎ dù
Mana	玛娜	Mǎ nà
Manaele	玛娜艾尔	Mǎ nà Aì ěr
Manaf	马纳夫	Mǎ nà fū
Mandy	曼蒂	Màn dì
Manel	马内	Mǎ nèi
Manfred	曼弗雷德	Màn Fú léi dé
Manhattan	马纳丹	Mǎ nà Dān
Mani	玛妮	Mǎ nī
Manoel	马诺埃	Mǎ nuò āi
Manolo	马诺罗	Mǎ nuò luó
Manon	玛侬	Mà nóng
Manouk	玛努克	Mǎ nǔ kè
Manu	马努	Mǎ nǔ
Manuel	曼努埃尔	Màn nǔ āi ěr
Manuela	玛努薇拉	Mǎ nǔ wēi lā
Manuela	玛努薇拉	Mǎ nǔ wēi lā
Maoline	猫琳	Māo lín
Mar	马尔	Mǎ r
Mara	玛拉	Mǎ lā
Marc	马克	Mǎ kè
Marc-Antoine	马尔康托万	Mǎ ěr kāng tuō wàn
Marc-Olivier	马克·奥利维耶	Mǎ kè ào lì wéi yē
Marçal	马尔沙	Mǎ ěr Shā
Marceau	马尔索	Mǎ ěr suǒ
Marcel	马塞尔	Mǎ sāi er
Marcela	马塞拉	Mǎ sāi lā
Marceline	玛尔瑟琳	Mǎ ěr sè lín
Marcelino	马尔塞利诺	Mǎ ěr sāi lì nuò
Marcella	玛尔瑟拉	Mǎ ěr sè lā
Marcelle	玛莎尔	Mǎ shā er
Marcelo	马塞洛	Mǎ sāi luò
Márcia	玛茜娅	Mǎ xī yà
Marcia	马尔西亚	Mǎ ěr xī yà
Marcie	玛茜	Mǎ xī
Marcilene	玛茜莲	Mǎ xī lián
Marcin	马尔亲	Mǎ ěr qīn
Márcio	马尔希奥	Mǎ ěr xī ào
Marcio	马尔西欧	Mǎ ěr xī Oū
Marco	马尔寇	Mǎ ěr kòu
Marconi	马尔科尼	Mǎ ěr Kē ní
Marcos	马科斯	Mǎ kē sī
Marcus	马尔库斯	Mǎ ěr kù sī
Mareike	马海克	Mǎ Hǎi kè
Marek	马雷克	Mǎ léi kè
Marella	玛蕾拉	Mǎ lěi lā
Margaret	玛格丽特	Mǎ gé lí té
Margareth	玛格蕾斯	Mǎ gé lèi sī
Margareth	玛格蕾特	Mǎ gé lèi té
Margarida	玛嘉莉达	Mǎ jiā lì dá
Margarita	马格利塔	Mǎ gé lì tǎ
Margaux	玛歌	Mǎ gē
Marjana	玛尔佳娜	Mǎ ěr jiā nà
Marjolaine	玛乔莲	Mǎ qiáo lián
Marjorie	玛乔丽	Mǎ qiáo lì
Mark	马克	Mǎ kè
Marko	马尔克	Mǎ ěr kè
Markus	马尔酷斯	Mǎ ěr kù sī
Marleide	玛尔蕾德	Mǎ ěr lěi dé
Marlen	马莱因	Mǎ lái yīn
Marlène	玛琳	Mǎ lín
Marlene	玛琳	Mǎ lín
Marline	玛尔琳	Mǎ ěr lín
Marloes	马尔露斯	Mǎ ěr Lù sī
Marlon	马愣	Mǎ lèng
Marluce	马尔鲁斯	Mǎ ěr lǔ sī
Marly	玛尔丽	Mǎ ěr lì
Marose	玛罗丝	Mǎ luó sī
Marshall	马歇尔	Mǎ xiē ěr
Marta	玛尔塔	Mǎ ěr tǎ
Marta	玛尔塔	Mǎ ěr tǎ
Martha	玛莎	Mǎ shā
Martha	玛尔塔	Mǎ ěr tǎ
Martí	马尔丁	Mǎ ěr dīng
Martial	马尔西亚	Mǎ ěr xī yà
Martin	马丁	Mǎ dīng
Martina	马蒂纳	Mǎ dì nà
Martine	玛婷	Mǎ tíng
Martinez	马丁内兹	Mǎ dīng nèi zī
Martinho	马尔提诺	Mǎ ěr tí nuò
Marussia	玛湖茜娅	Mǎ hú xī yà
Marvin	马文	Mǎ wén
Marwan	马尔万	Mǎ ěr wàn
Mary	玛丽	Mǎ lì
Mary-Lou	玛丽·璐	Mǎ lí lù
Maryam	玛尔耶姆	Mǎ ěr yē mǔ
Maryane	玛丽安	Mǎ lì ān
Maryanne	玛丽安	Mǎ lì ān
Maryeve	玛丽伊夫	Mǎ lì Yī fū
Marylène	玛丽蕾娜	Mǎ lì lěi nà
Marylia	玛丽丽娅	Mǎ lì lì yà
Marylin	玛丽琳	Mǎ lì lín
Marylise	玛丽丽丝	Mǎ lí lí sī
Marylka	玛丽尔卡	Mǎ lì ěr Kǎ
Marynes	玛丽内斯	Mǎ lì nèi sī
Maryse	玛丽丝	Mǎ lí sī
Maryse	马瑞赛	Mǎ ruì sài
Maryvonne	玛丽冯	Mǎ lì féng
Matéa	玛特阿	Mǎ tè Ā
Matéo	马特欧	Mǎ tè ōu
Mateu	马泰奥	Mǎ Tài ào
Mateus	马泰乌斯	Mǎ tài wū sī
Matheo	马泰奥	Mǎ Tài ào
Matheus	马泰乌斯	Mǎ Tài Wū sī
Mathias	马提亚斯	Mǎ tí yǎ sī
Mathieu	马修	Mǎ xiū
Mathieu	玛蒂厄	Mǎ dì è
Mathiew	马修	Mǎ xiū
Mathilda	玛蒂尔达	Mǎ dì ěr dá
Mathilde	玛蒂尔德	Mǎ dì ěr dé
Mathis	玛希斯	Mǎ xī sī
Mathis	马蒂斯	Mǎ dì sī
Mathy	马蒂	Mǎ dì
Matias	马蒂亚斯	Mǎ dì yà sī
Matilde	马蒂尔德	Mǎ dì rdé
Matisse	马蒂斯	Mǎ dì sī
Matrika	玛特丽卡	Mǎ té lí kǎ
Matt	马特	Mǎ té
Matteo	马特奥	Mǎ tè ào
Mattéo	马特奥	Mǎ tè ào
Mattheo	马特奥	Mǎ tè ào
Matthew	马修	Mǎ xiū
Matthias	马提亚斯	Mǎ tí yà sī
Matthieu	玛蒂厄	Mǎ dì è
Mattis	马蒂斯	Mǎ dì sī
Matty	马迪	Má dí
Maud	茉德	Mò dé
Maude	茉德	Mò dé
Maura	毛拉	Máo lā
Maurad	莫哈德	Mò hā dé
Maurane	茉兰	Mò lán
Mauranne	莫尔安	Mò ěr ān
Maureen	穆琳	Mù lín
Maurice	莫利斯	Mò lì sī
Mauricette	莫里赛特	Mò lǐ sài té
Maurici	茂利西	Mào lì xī
Mauricio	毛里西噢	Máo lǐ xī ō
Maurine	莫琳	Mò lín
Maurizio	毛里齐奥	Máo lǐ qí ào
Mauro	茂罗	Mào luó
Maverick	马维利科	Mǎ wéi lì Kē
Max	马克斯	Mǎ kè sī
Maxance	马克桑斯	Mǎ kè sāng sī
Maxence	马克桑斯	Mǎ kè sāng sī
Maxi	马克西	Mǎ kè xī
Maxim	马克辛	Mǎ kè xīn
Maxima	马克西马	Mǎ kè xī mǎ
Maxime	马克西姆	Mǎ kè xī mǔ
Maximiano	马克西米阿诺	Mǎ kè xī mǐ ā nuò
Maximilian	马克西迷恋	Mǎ kè xī mí liàn
Maximiliano	马西米利亚诺	Mǎ xī mǐ lì yà nuò
Maximilien	马克西米利恩	Mǎ kè xī mǐ lì ēn
Maximilyam	马克西米利阿姆	Mǎ kè xī mǐ lì Ā mǔ
Maximino	马克西莫	Mǎ kè xī mò
Maximus	马克思姆斯	Mǎ kè sī mǔ sī
Maxine	玛可欣	Mǎ kě xīn
Maxwell	麦克斯韦	Mài kè sī wéi
May	梅	Méi
Maya	玛雅	Mǎ yǎ
Mayana	玛娅娜	Mǎ yà nà
Mayara	玛雅拉	Mǎ Yǎ lā
Maybell	麦贝尔	Mài Bèi ěr
Mayel	马耶尔	Mǎ yē ěr
Mayer	马亚尔	Mǎ yà ěr
Mayleen	梅琳	Méi lín
Maylene	梅莲	Méi lián
Maylène	玛伊莲	Mǎ Yī lián
Mayliss	玛伊莉丝	Mǎ yī lì sī
Maÿliss	玛伊丽丝	Mǎ Yī lì sī
Mayra	迈拉	Mài lā
Mayre	麦勒	Mài lè
Mayte	玛伊泰	Mǎ yī tài
Mazarine	玛莎琳	Mǎ shā lín
Mazen	马森	Mǎ sēn
Meaghan	米甘	Mǐ gān
Mechthild	梅尔提德	Méi ěr tí dé
Meda	梅达	Méi dá
Médéric	梅代里克	Méi dài lǐ kè
Meg	梅格	Méi gé
Mégane	梅甘	Méi gān
Meggie	梅吉	Méi Jí
Méghane	梅甘	Méi gān
Mehane	梅安	Méi ān
Mehdi	梅迪	Méi dí
Mehmet	莫梅特	Mò méi tè
Meik	麦克	Mài kè
Meilin	梅林	Méi lín
Meire	梅尔	Méi ěr
Méjane	梅冄	Méi rǎn
Mejra	梅日拉	Méi rì lā
Mekky	梅吉	Méi Jí
Mel	梅尔	Méi ěr
Mélaine	梅莲	Méi lián
Mélanie	梅兰妮	Méi lán ní
Melany	梅兰妮	Méi lán ní
Mélany	梅兰妮	Méi lán nī
Melba	梅尔巴	Méi ěr bā
Melchior	梅尔邱	Méi ěr qiū
Mélia	梅丽娅	Méi lí yà
Melia	美莉芽	Měi lì yá
Méliane	梅莉安	Méi lì ān
Mélina	梅莉娜	Méi lì nà
Melina	梅丽娜	Méi lì nà
Melinda	美莲达	Měi lián dá
Mélinda	梅林达	Méi lín dá
Méline	梅琳	Méi lín
Melissa	梅莉莎	Méi lì shā
Mélissandre	梅莉山大	Méi lì shān dà
Meliza	梅丽萨	Méi lì sà
Mellar	美拉尔	Měi lā ěr
Mellie	美丽	Měi lì
Mélodie	梅洛迪	Méi luò dí
Melody	梅洛迪	Méi luò dí
Meltem	梅特恩	Méi tè ēn
Melvin	梅尔文	Méi ěr wén
Melvyn	梅尔文	Méi ěr wén
Mélys	梅莉丝	Méi lì sī
Melyssa	梅莉莎	Méi lì shā
Mencià	门霞	Mén xiá
Mengual	门古瓦尔	Mén gǔ wǎ ěr
Merça	梅尔萨	Méi ěr sà
Mercè	梅尔塞	Méi rsāi
Mercè	麦萨	Mài sà
Mercedes	梅塞德斯	Méi sāi dé sī
Merche	梅尔赤	Méi ěr chì
Meri	梅丽	Méi lì
Meritxell	梅莉赤尔	Méi lì chì èr
Merouane	梅鲁安	Méi lǔ ān
Merry-Anne	梅丽安	Méi lì ān
Merwan	梅尔万	Méi ěr wàn
Meryem	梅尔耶姆	Méi ěr yē mǔ
Méryl	梅丽尔	Méi lì ěr
Meryl	梅丽尔	Méi lì ěr
Messaline	梅萨琳	Méi sà lín
Messias	梅西亚	Méi xī yà
Messon	麦森	Mài sēn
Mesut	梅苏特	Méi sū tè
Metehan	梅代安	Méi dài ān
Meven	梅文	Méi wén
Mey	梅	Méi
Meyer	梅耶尔	Méi yē ěr
Meyling	梅玲	Méi líng
Meyssa	梅萨	Méi sà
Méziane	梅茜安	Méi xī ān
Mia	米娅	Mǐ yà
Micaela	米卡俄拉	Mǐ kǎ é lā
Michael	米卡尔	Mǐ kǎ er
Michael	麦克尔	Mài kè er
Michaela	米凯拉	Mǐ kǎi lā
Michał	米豪	Mǐ háo
Michel	米歇尔	Mǐ xiē er
Michèle	米歇勒	Mǐ xiē lè
Micheline	米舍利娜	Mǐ shě lì nà
Michelle	米歇尔	Mǐ xiē er
Michko	米士科	Mǐ shì kē
Mick	米克	Mǐ kè
Mickaël	米卡尔	Mǐ kǎ ěr
Mickey	米基	Mǐ jī
Mieczysław	米尺斯瓦夫	Mǐ chǐ sī wǎ fū
Miguel	米高	Mǐ gāo
Mihriban	米利班	Mǐ lì bān
Mijal	米哈尔	Mǐ hā ěr
Mijer	米捷尔	Mǐ jié ěr
Miká	米卡	Mǐ kǎ
Mikael	米卡尔	Mǐ kǎ ěr
Mikaël	米卡尔	Mǐ kǎ ěr
Mike	麦克	Mài kè
Miki	米吉	Mǐ jí
Mikołaj	米克艾	Mǐ kè ài
Mikou	米酷	Mǐ Kù
Mikumi	米库米	Mǐ Kù mǐ
Mila	米拉	Mǐ lā
Milagros	米拉格罗斯	Mǐ lā gé luó sī
Miled	米雷德	Mǐ léi dé
Miléna	米蕾娜	Mǐ lěi nà
Milena	米蕾娜	Mǐ lěi nà
Miley	蜜蕾	Mì lěi
Milia	米丽亚	Mǐ lì yà
Miliana	米利亚娜	Mǐ lì yà nà
Milie	米丽	Mǐ lì
Milita	蜜丽塔	Mì lì tǎ
Milla	蜜拉	Mì lā
Millán	米兰	Mǐ lán
Millie	米粒	Mǐ lì
Millionneli	米柳内丽	Mǐ liǔ nèi lì
Milly	蜜丽	Mì lì
Milo	米罗	Mǐ luó
Milou	米卢	Mǐ lú
Milson	米尔森	Mǐ ěr sēn
Milton	米尔屯	Mǐ ěr tún
Mina	米娜	Mǐ nà
Minea	麦妳娅	Mài nǐ yà
Mini	米妮	Mǐ nī
Minna	米娜	Mǐ nà
Miquel	米凯	Mǐ Kǎi
Miquela	蜜凯拉	Mì Kǎi lā
Mira	米拉	Mǐ lā
Mirana	米哈娜	Mǐ hā nà
Miranda	米朗达	Mǐ lǎng dá
Mireia	米雷娅	Mǐ léi yà
Mireia	蜜蕾娅	Mì lěi yà
Mireille	米雷	Mǐ léi
Mirela	蜜蕾拉	Mì lěi lā
Mirella	米蕾拉	Mǐ lěi lā
Miren	米廉	Mǐ lián
Miriam	米里安	Mǐ lǐ ān
Miris	米莉斯	Mǐ lì sī
Mirka	米尔卡	Mǐ ěr Kǎ
Mirna	米尔纳	Mǐ rnà
Mirose	米罗斯	Mǐ luó sī
Miroslav	米侯斯拉夫	Mǐ hóu sī lā fū
Miroslava	莫罗斯拉瓦	Mò luó sī lā wǎ
Mirosław	米洛斯瓦夫	Mǐ luò sī wǎ fū
Mirya	米莉娅	Mǐ lì yà
Miryan	蜜丽安	Mì lì ān
Mischa	蜜沙	Mì Shā
Mitch	米奇	Mǐ qí
Mitchell	米切尔	Mǐ qiē ěr
Mitzi	密茨	Mì cí
Miuka	米奥卡	Mǐ ào Kǎ
Moana	莫安娜	Mò ān nà
Modesto	莫德斯托	Mò dé sī tuō
Moema	莫埃玛	Mò Aī Mǎ
Moesha	莫艾莎	Mò Aì shā
Mogwai	莫克外	Mò kè wài
Mohamed	穆罕默德	Mò hǎn mò dé
Mohand	莫巷	Mò hàng
Mohcine	墨辛	Mò xīn
Moïra	莫伊拉	Mò Yī lā
Moïse	莫伊斯	Mò yī sī
Moisés	莫伊塞斯	Mò yī sāi sī
Moka	莫卡	Mò Kǎ
Mokhtar	默克塔尔	Mò kè tǎ ěr
Molly	茉莉	Mò lì
Mona	蒙娜	Mēng nà
Moncef	蒙塞夫	Mēng sài fū
Moneefa	莫尼法	Mò ní Fǎ
Monia	莫妮娅	Mò nī yà
Monica	莫妮卡	Mò nī kǎ
Mônica	莫尼卡	Mò ní kǎ
Mònica	莫妮卡	Mò nī Kǎ
Monika	莫妮卡	Mò nī kǎ
Monika	莫尼卡	Mò ní kǎ
Monique	莫尼克	Mò ní kè
Monserrat	蒙塞拉特	Méng sāi lā tè
Monserrat	梦瑟拉	Mèng sè lā
Montse	蒙特塞	Méng tè sāi
Montse	梦慈	Mèng cí
Montserrat	蒙特塞拉特	Méng tè sāi lā tè
Monty	梦蒂	Mèng dì
Mony	莫尼	Mò ní
Morais	莫莱斯	Mò lái sī
Moreen	莫琳	Mò lín
Morena	莫蕾娜	Mò lěi nà
Moreno	莫雷诺	Mò léi nuò
Morgan	摩根	Mó gēn
Morgane	莫尔甘	Mò ěr gān
Morissette	莫里赛特	Mò lǐ sài té
Morris	莫里斯	Mò lǐ sī
Mos	茅斯	Máo sī
Moses	摩西	Mó xī
Mouhamad	穆哈马德	Mù hā mǎ dé
Mouloud	穆鲁德	Mù lǔ dé
Mouna	穆娜	Mù nà
Moune	穆恩	Mù ēn
Mounir	穆尼尔	Mù ní ěr
Moura	穆拉	Mù lā
Mourad	穆哈德	Mù hā dé
Mous	穆斯	Mù sī
Moustafa	穆斯塔法	Mù sī tǎ fǎ
Muhammad	穆罕默德	Mù hǎn mò dé
Muhib	穆易贝	Mù yì Bèi
Murat	穆拉	Mù lā
Muriel	穆丽尔	Mù lí er
Murielle	穆丽尔	Mù lí er
Mustafa	穆斯塔法	Mù sī tǎ fǎ
Mustapha	穆斯塔法	Mù sī tǎ fǎ
Myhan	蜜安	Mì ān
Myléna	米蕾娜	Mǐ lěi nà
Mylène	米莲	Mǐ lián
Myriam	米里安	Mǐ lǐ ān
Myris	米莉丝	Mǐ lì sī
Myrtille	米尔缇	Mǐ èr tí
Nabiha	娜比奤	Nà bǐ tǎi
Nabil	纳比尔	Nà bǐ ěr
Nabila	娜碧拉	Nà bì lā
Nacho	纳稠	Nà chóu
Nacim	纳西姆	Nà xī mǔ
Nada	纳达	Nà dá
Nadège	娜德日	Nà dé rì
Nadhem	纳德姆	Nà dé mǔ
Nadia	娜迪娅	Nà dí yà
Nadina	纳迪娜	Nà dí nà
Nadine	娜丁	Nà dīng
Nadir	纳蒂尔	Nà dì ěr
Nadja	娜蒂娅	Nà dì yà
Nadjie	娜杰	Nà jié
Nadjma	纳杰玛	Nà Jié Mǎ
Nado	纳多	Nà duō
Nadya	娜迪娅	Nà dí yà
Nael	纳尔	Nà ěr
Naëlle	娜艾尔	Nà ài ěr
Naéva	娜艾瓦	Nà ài wǎ
Nahin	纳因	Nà yīn
Nahomi	纳欧米	Nà ōu mǐ
Nahuel	纳乌艾	Nà wū ài
Naïm	娜伊姆	Nà Yī mǔ
Naïma	娜伊玛	Nà yī mǎ
Naïs	纳伊斯	Nà yī sī
Nais	纳伊斯	Nà Yī sī
Najat	纳贾特	Nà jiǎ tè
Najeeba	娜吉巴	Nà Jí Bā
Najim	纳吉姆	Nà jí mǔ
Nala	娜拉	Nà lā
Nalisa	娜丽嘉	Nà lì Jiā
Nallely	娜蕾莉	Nà lěi lì
Nancy	南茜	Nán xī
Nando	南多	Nán duō
Nano	纳诺	Nà nuò
Nanou	纳努	Nà nǔ
Naomi	纳奥米	Nà ào mǐ
Naomie	纳奥米	Nà ào mǐ
Naomy	纳奥米	Nà ào mǐ
Napoléon	拿破仑	Ná pò lún
Napoli	拿破里	Ná pò lǐ
Narcís	纳尔希斯	Nà ěr xī sī
Narciso	纳西索	Nà xī suǒ
Nardine	纳尔丁	Nà ěr dīng
Naredo	纳雷多	Nà léi duō
Nareme	娜蕾梅	Nà lěi Méi
Narlla	娜尔拉	Nà ěr lā
Nassim	纳西姆	Nà xī mǔ
Nassira	纳西哈	Nà xī hā
Nastassja	娜斯塔加	Nà sī tǎ jiā
Nata	娜塔	Nà tǎ
Natacha	娜塔莎	Nà tǎ shā
Natalia	娜塔莉娅	Nà tǎ lì yà
Natalia	娜塔丽亚	Nà tǎ lì yà
Natalie	娜塔莉	Nà tǎ lì
Natalina	娜塔丽娜	Nà tǎ lì nà
Natalja	娜塔莉娅	Nà tǎ lì yà
Natanael	纳塔纳埃	Nà tǎ nà āi
Natascha	娜塔莎	Nà tǎ shā
Natasha	娜塔莎	Nà tǎ shā
Nath	娜特	Nà tè
Nathália	娜塔莉娅	Nà tǎ lì yà
Nathalie	娜塔丽	Nà tǎ lì
Nathaly	娜塔莉	Nà tǎ lì
Nathan	内森	Nèi sēn
Nathan	纳唐	Nà táng
Nathanaël	纳塔纳尔	Nà tǎ nà ěr
Nathaniel	纳坦耶	Nà tǎn yē
Natius	内袖斯	Nèi xiù sī
Natividad	纳蒂维达德	Nà dì wéi dá dé
Natividade	圣诞	Shèng dàn
Nausicaa	诺茜卡	Nuò xī Kǎ
Navy	纳威	Nà Wēi
Nawal	娜娃尔	Nà wá ěr
Nawale	娜娃尔	Nà wá ěr
Nawelle	娜维尔	Nà wéi ěr
Nayadet	娜娅黛特	Nà yà dài tè
Nayara	娜娅拉	Nà yà lā
Nayely	娜叶丽	Nà yè lì
Nayla	娜伊拉	Nà Yī lā
Nayra	耐拉	Nài lā
Nazaire	纳泽尔	Nà zé ěr
Nazarena	纳萨雷纳	Nà sà léi nà
Naziah	娜霞	Nà xiá
Nazim	纳西姆	Nà xī mǔ
Neala	妮拉	Nī lā
Neel	尼尔	Ní ěr
Neele	内莉	Nèi lì
Neftalí	内弗塔莉	Nèi fú tǎ lì
Nego	内格	Nèi gé
Néhémie	内艾米	Nèi ài mǐ
Neige	内日	Nèi rì
Neil	尼尔	Ní ěr
Neila	内拉	Nèi lā
Nele	内勒	Nèi lè
Nélie	内丽	Nèi lì
Nelly	内丽	Nèi lì
Nelson	尼尔森	Ní ěr sēn
Nenou	内努	Nèi nǔ
Neo	尼欧	Ní ōu
Néo	尼欧	Ní ōu
Nerea	内雷亚	Nèi léi yà
Nerí	内莉	Nèi lì
Neriman	内利曼	Nèi lì màn
Nerina	内莉娜	Nèi lì nà
Nesrin	内斯林	Nèi sī lín
Nesrine	内斯林	Nèi sī lín
Nessrine	内斯琳	Nèi sī lín
Nestor	内斯特	Nèi sī tè
Netuno	内图诺	Nèi tú nuò
Neus	内务斯	Nèi wù sī
Neus	内武斯	Nèi wǔ sī
Neusa	乃萨	Nǎi sà
Neuza	哪吒	Nǎ Zhà
Neves	内维丝	Nèi wéi sī
Neville	内维尔	Nèi wéi ěr
Nevine	内文	Nèi wén
Nia	妮娅	Nī yà
Niall	奶尔	Nǎi ěr
Niamh	妮娅姆	Ní yà mǔ
Nic	尼克	Ní kè
Nicholas	尼古拉斯	Ní gǔ lā sī
Nick	尼克	Ní kè
Nico	尼克	Ní kè
Nicodème	尼克戴姆	Ní kè dài mǔ
Nicodemo	尼克德莫	Ní kè dé mò
Nicolae	尼克莱	Ní kè lái
Nicolas	尼克拉	Ní kè lā
Nicolas	尼古拉斯	Ní gǔ lā sī
Nicolau	尼克劳	Ní kè láo
Nicolau	尼科拉	Ní Kē lā
Nicole	尼科尔	Ní kē ěr
Nidia	妮蒂娅	Nī dì yà
Nídia	妮蒂娅	Nī dì yà
Nidio	尼迪奥	Ní dí ào
Nieves	涅韦斯	Niè wéi sī
Nijah	妮扎	Nī zhā
Nika	妮卡	Nī Kǎ
Nikita	尼琦塔	Ní qí tǎ
Niklas	尼克拉斯	Ní kè lā sī
Niko	尼克	Ní kè
Nil	尼尔	Ní ěr
Nils	尼尔斯	Ní ěr sī
Nilson	尼尔森	Ní ěr sēn
Nilton	内屯	Nèi tún
Nilza	妮尔萨	Nī ěr sà
Nima	妮玛	Nī mǎ
Nina	妮娜	Ní nà
Ning	柠	Níng
Nini	妮妮	Nī nī
Nino	尼诺	Ní nuò
Ninon	妮侬	Nī nóng
Nirmal	尼尔玛尔	Ní ěr Mǎ ěr
Nisana	妮萨娜	Nī sà nà
Nishil	尼希尔	Ní xī ěr
Nishta	妮什塔	Nī shí tǎ
Nitzia	妮吉娅	Nī jí yà
Niura	妮奥拉	Nī ào lā
Nivel	尼维	Ní wéi
Nizar	尼扎尔	Ní zā ěr
Noa	诺阿	Nuò ā
Noah	诺阿	Nuò ā
Noam	诺阿姆	Nuò ā mǔ
Noan	诺昂	Nuò áng
Nobre	诺布雷	Nuò Bù léi
Noe	诺伊	Nuò yī
Noé	诺伊	Nuò yī
Noel	诺尔	Nuò ěr
Noël	诺埃	Nuò āi
Noelia	诺埃利亚	Nuò āi lì yà
Noélie	诺尔丽	Nuò ěr lì
Noëlla	诺尔拉	Nuò ěr lā
Noelle	诺尔	Nuò ěr
Noëllie	诺尔丽	Nuò ěr lì
Noemi	诺诶米	Nuò mǐ
Noémie	诺米	Nuò mǐ
Nolan	诺兰	Nuò lán
Nolitza	诺莉扎	Nuò lì zā
Nollan	诺兰	Nuò lán
Nolwenn	诺尔文	Nuò ěr wén
Noonan	努南	Nǔ nán
Nora	诺拉	Nuò lā
Norah	诺拉	Nuò lā
Norbert	诺伯特	Nuò bó té
Norbert	诺尔贝	Nuò ěr bèi
Norberto	诺韦尔托	Nuò wéi rtuō
Nordahl	诺尔达	Nuò ěr dá
Nordhal	诺尔达	Nuò ěr dá
Noreen	诺琳	Nuò lín
Nori	诺丽	Nuò lì
Norien	诺里恩	Nuò lǐ ēn
Norma	诺尔玛	Nuò rmǎ
Normand	诺曼德	Nuò màn dé
Normand	诺曼	Nuò màn
Noshua	诺舒阿	Nuò shū ā
Nubia	女碧亚	Nǚ bì yà
Nuno	努诺	Nǔ nuò
Nuria	纽莉娅	Niǔ lì yà
Núria	努莉芽	Nǔ lì yá
Nuwa	女娲	Nǚ wā
Nyall	尼亚尔	Ní yà ěr
Nyhéma	妮爱玛	Nī Aì Mǎ
Nyurka	妞尔卡	Niū ěr Kǎ
Oana	欧安娜	Oū ān nà
Obdulio	奥夫杜略	Aò fū dù lüè
Océane	奥赛安	Aò sài ān
Océanne	奥赛安	Aò sài ān
Octave	奥克塔夫	Aò kè tǎ fū
Octaviano	奥克塔维亚诺	Aò kè tǎ wéi yà nuò
Octavio	奥克塔维奥	Aò kè tǎ wéi ào
Odaly	奥达利	Aò dá lì
Odeline	奥德琳	Aò dé lín
Odenir	欧德尼	Oū dé ní
Odete	奥黛特	Aò dài té
Odette	奥黛特	Aò dài té
Odile	欧迪勒	Oū dí lè
Odón	奥东	Aò dōng
Odoric	奥多利克	Aò duō lì kè
Ofelia	奥费莉亚	Aò fèi lì yà
Ofélia	欧菲莉娅	Oū fēi lì yà
Oihana	奥伊安娜	Aò Yī ān nà
Oili	奥伊丽	Aò Yī lì
Oisin	瓦心	Wǎ xīn
Oksana	奥格萨娜	Aò gé sà nà
Olavo	欧拉维奥	Oū lā wéi ào
Olegario	奥莱加里奥	Aò lái jiā lǐ ào
Oleguer	奥雷戈	Aò léi gē
Olga	奥尔加	Aò ěr jiā
Olgerta	欧勒格尔塔	Oū lè gé ěr tǎ
Olive	奥利维	Aò lì wéi
Oliveira	奥利维拉	Aò lì wéi lā
Oliver	奥利弗	Aò lì fú
Oliverio	奥利维里奥	Aò lì wéi lǐ ào
Olivette	奥利维特	Aò lì wéi tè
Olivia	奥利维亚	Aò lì wéi yà
Olívia	欧莉维娅	Oū lì wéi yà
Olivier	奥利维耶	Aò lì wéi yē
Olivio	奥利维奥	Aò lì wéi ào
Olja	奥娅	Aò yà
Olkan	奥坎	Aò Kǎn
Olli	奥利	Aò lì
Ollivier	奥利维耶	Aò lì wéi yē
Omar	奥马尔	Aò mǎ ěr
Ombeline	昂贝琳	Áng bèi lín
Ombline	昂贝琳	Áng bèi lín
Ona	奥纳	Aò nà
Ondine	昂丁	Áng dīng
Oneida	奥内塔	Aò nèi tǎ
Onésimo	奥内希莫	Aò nèi xī mò
Onofre	奥诺弗雷	Aò nuò fú léi
Oona	乌娜	Wū nà
Opale	奥琶	Aò pá
Ophelia	欧菲丽娅	Oū fēi lí yà
Ophélie	欧菲丽	Oū fēi lí
Orage	奥拉日	Aò lā rì
Orellana	奥蕾拉娜	Aò lěi lā nà
Orfer	奥尔菲	Aò ěr Fēi
Oriana	欧莉雅娜	Oū lì yǎ nà
Oriane	欧莉安	Oū lì ān
Orianna	欧莉安娜	Oū lì ān nà
Orietta	奥列塔	Aò liè tǎ
Oriol	奥里奥尔	Aò lǐ ào r
Oriol	奥六	Aò liù
Orlanda	奥兰达	Aò lán dá
Orlando	奥兰多	Aò lán duō
Orlane	奥尔兰	Aò ěr lán
Orlewilson	奥勒维孙	Aò lè wéi sūn
Orma	奥尔玛	Aò ěr mǎ
Ornella	奥内拉	Aò nèi lā
Orville	欧尔维	Oū ěr wéi
Oscar	奥斯卡	Aò sī kǎ
Òscar	奥斯卡	Aò sī Kǎ
Osiris	欧西里斯	Oū xī lǐ sī
Oskar	奥斯卡	Aò sī Kǎ
Osmar	奥斯马尔	Aò sī Mǎ ěr
Osmundo	奥斯孟多	Aò sī mèng duō
Ossama	奥萨马	Aò sà mǎ
Osvaldo	奥斯瓦尔多	Aò sī wǎ rduō
Oswaldo	奥斯瓦尔多	Aò sī wǎ rduō
